method,metric,dataset,acc
SFA,hist_euclidean,Adiac,0.4245524296675191
SFA,hist_euclidean,AllGestureWiimoteX,0.3142857142857143
SFA,hist_euclidean,AllGestureWiimoteY,0.3
SFA,hist_euclidean,AllGestureWiimoteZ,0.3157142857142857
SFA,hist_euclidean,ArrowHead,0.48
SFA,hist_euclidean,Beef,0.6333333333333333
SFA,hist_euclidean,BeetleFly,0.75
SFA,hist_euclidean,BirdChicken,0.95
SFA,hist_euclidean,BME,0.42
SFA,hist_euclidean,Car,0.4833333333333333
SFA,hist_euclidean,CBF,0.62
SFA,hist_euclidean,Chinatown,0.880466472303207
